bucket_start,total_requests,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_cost,actual_cost,total_duration_ms,active_users,computed_at,account_cost
2026-05-20 12:00:00+08,221,1574662,188688,0,25565568,17.824338,17.824338,4168254,1,2026-05-20 22:59:10.18924+08,17.824338
2026-05-20 22:00:00+08,227,1881481,223487,0,29398912,15.4057355,15.4057355,4742954,1,2026-05-20 23:02:10.118238+08,15.4057355
2026-05-21 00:00:00+08,117,566972,66085,0,16780288,6.603777,6.603777,1628227,1,2026-05-21 01:02:10.118245+08,6.603777
2026-05-20 08:00:00+08,9,70640,3762,0,153600,0.2591835,0.2591835,89626,1,2026-05-20 22:59:10.18924+08,0.2591835
2026-05-19 11:00:00+08,1,10125,212,0,3456,0.0293565,0.0293565,4931,1,2026-05-20 22:59:10.146163+08,0.0293565
2026-05-20 16:00:00+08,595,5453757,348588,0,73701760,55.22129,55.22129,9454116,1,2026-05-20 22:59:10.18924+08,55.22129
2026-05-19 14:00:00+08,75,935353,68633,0,1685376,3.8127565,3.8127565,1554148,1,2026-05-20 22:59:10.146163+08,3.8127565
2026-05-19 15:00:00+08,122,1666735,106944,0,7458176,8.133838,8.133838,2330105,1,2026-05-20 22:59:10.146163+08,8.133838
2026-05-21 02:00:00+08,93,440792,54990,0,14470656,5.544494,5.544494,1520329,1,2026-05-21 03:02:10.116095+08,5.544494
2026-05-20 18:00:00+08,15,53065,12759,0,2226816,0.8807515,0.8807515,330874,1,2026-05-20 22:59:10.18924+08,0.8807515
2026-05-20 21:00:00+08,179,1512572,177573,0,23216896,12.249249,12.249249,3845914,1,2026-05-20 22:59:10.18924+08,12.249249
2026-05-20 19:00:00+08,37,410176,42139,0,3051392,2.420373,2.420373,855881,1,2026-05-20 22:59:10.18924+08,2.420373
2026-05-20 17:00:00+08,291,2560812,177097,0,40763648,21.5637515,21.5637515,4486838,1,2026-05-20 22:59:10.18924+08,21.5637515
2026-05-20 13:00:00+08,228,1548259,245432,0,28600448,16.895895,16.895895,5197300,1,2026-05-20 22:59:10.18924+08,16.895895
2026-05-20 15:00:00+08,540,4613222,365132,0,45802496,46.8099445,46.8099445,9193684,1,2026-05-20 22:59:10.18924+08,46.8099445
